X,Y,objectid,meterid,csment_dbo_parkingmeters_area,subarea,zone,config_name,latitude,longitude,shape
-118.494454225881,34.0092528366969,1,ARC0001,BEACH,01 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009248,-118.494442,
-118.49434022543,34.0092178372217,2,ARC0002,BEACH,00 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009213,-118.494328,
-118.494401225172,34.0092968369086,3,ARC0003,BEACH,01 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009292,-118.494389,
-118.494291225508,34.0092568373073,4,ARC0004,BEACH,00 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009252,-118.494279,
-118.494352225723,34.0093368368207,5,ARC0005,BEACH,01 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009332,-118.49434,
-118.494240225367,34.0092988368603,6,ARC0006,BEACH,00 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009294,-118.494228,
-118.49429822571,34.0093808374736,7,ARC0007,BEACH,01 ARCADIA TERR,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.009376,-118.494286,
-118.483901223017,33.9989908368729,8,BAR2801,BEACH,2801 BARNARD WY,Beach Zone,$2.50/hr  2 hr 9a-6p DAILY,33.998986,-118.483889,
-118.483855223427,33.9989438367611,9,BAR2803,BEACH,2801 BARNARD WY,Beach Zone,$2.50/hr  2 hr 9a-6p DAILY,33.998939,-118.483843,
-118.483811222752,33.9988958369301,10,BAR2805,BEACH,2801 BARNARD WY,Beach Zone,$2.50/hr  2 hr 9a-6p DAILY,33.998891,-118.483799,
-118.483662223404,33.998738836811,11,BAR2807,BEACH,2801 BARNARD WY,Beach Zone,$2.50/hr  2 hr 9a-6p DAILY,33.998734,-118.48365,
-118.483626223124,33.9986998364293,12,BAR2809,BEACH,2801 BARNARD WY,Beach Zone,$2.50/hr  2 hr 9a-6p DAILY,33.998695,-118.483614,
-118.483581222921,33.9986528367179,13,BAR2811,BEACH,2801 BARNARD WY,Beach Zone,$2.50/hr  2 hr 9a-6p DAILY,33.998648,-118.483569,
-118.490845224211,34.0057568368543,14,BAY0000,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005752,-118.490833,
-118.490937225096,34.0058468371228,15,BAY0001,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005842,-118.490925,
-118.490795225003,34.0057898371526,16,BAY0002,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005785,-118.490783,
-118.49089222445,34.0058788371597,17,BAY0003,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005874,-118.49088,
-118.490741224429,34.0058268366846,18,BAY0004,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005822,-118.490729,
-118.490837224523,34.0059178367997,19,BAY0005,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005913,-118.490825,
-118.490686224472,34.0058658371572,20,BAY0006,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005861,-118.490674,
-118.490783224788,34.0059568368551,21,BAY0007,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005952,-118.490771,
-118.490630224856,34.0059038373573,22,BAY0008,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005899,-118.490618,
-118.490728224312,34.0059948366442,23,BAY0009,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.00599,-118.490716,
-118.490585225144,34.0059358372755,24,BAY0010,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005931,-118.490573,
-118.490670224781,34.0060318370773,25,BAY0011,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.006027,-118.490658,
-118.490405224689,34.0059638366345,26,BAY0012,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005959,-118.490393,
-118.4903312248,34.0062718368585,27,BAY0013,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.006267,-118.490319,
-118.490385224587,34.0059768369044,28,BAY0014,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005972,-118.490373,
-118.49027022422,34.0063138365864,29,BAY0015,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.006309,-118.490258,
-118.4903822252,34.0059798367805,30,BAY0016,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005975,-118.49037,
-118.490213225205,34.0063548373566,31,BAY0017,BEACH,01 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.00635,-118.490201,
-118.49035022468,34.0060008373471,32,BAY0018,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005996,-118.490338,
-118.490346225047,34.0060038367783,33,BAY0020,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.005999,-118.490334,
-118.490307225039,34.0060298368382,34,BAY0022,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.006025,-118.490295,
-118.490303224326,34.0060328371739,35,BAY0024,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.006028,-118.490291,
-118.490270224215,34.0060578373864,36,BAY0026,BEACH,00 BAY ST,Beach Zone,$2.50/hr  5 hr 9a-6p DAILY,34.006053,-118.490258,
